text,sentiment
"from that fair head, I am enraged,--my cheek burns with anger,--even tears gush forth, bathing my face and bosom;--I could die to be revenged on the impious stupidity of that rash hand!",anger
"Come now, give me my quietus and I’ll race you into hell!”",anger
"I am going to give you a butt and hook that will send you half way up a telegraph pole!""",anger
"ere I will be bearded thus on my own lands, I will command my retainers to hurl thee into the sea.""",anger
"So he made off, cursing and swearing, and vowing that the next time he met me he would have my life.""",anger
"she nearer comes with deathless ire, With those fierce, moveless, glaring eyes of fire!",anger
"At the sight of her tears Horatius was so wrath that he drew his sword, and stabbed his sister to the heart; and he said, 'So perish the Roman maiden who shall weep for her country's enemy!'""",anger
"Ef yer don't take it, I swear we'll hunt every mother's son of yer down.""",anger
"When King Arthur heard these words he flushed all scarlet, and rising in great anger said, ""Well is it for thee that thou speakest another man's words with thy lips, and not thine own.",anger
"If ye leave me thus, thou shalt gain nothing from it, for when I am whole I will slay thee when I may.'",anger
"You are in MY laboratory, and by a movement of my finger I can hurl you into eternity!""",anger
"he shrieked, losing his self-possession in a sudden burst of fury; ""spy!",anger
"The de'il wad look into his face, And swear he could na wrang him.'",anger
"There, don't say anything about it, Bill, else I will punch your head.""",anger
"Now, in the Devil's name, go straight, Or I'll blow out his being's flickering spark!",anger
"But put forth thine hand now, and touch all that he hath, and he will curse thee to thy face.""",anger
"cried the old knight, in high wrath, crumpling up the paper, and flinging it at Ralph.",anger
"Whereat the son's wrath flew to fury at such sheer scorn Of his puny strength by the giant eld thus acting the babe new-born: And ""Neither will this turn serve!""",anger
"don’t throw that stone, or I will horsewhip you within an inch of your life!”",anger
"cried Joel, boiling with wrath, and, deserting the big post, he squared off toward the Strawberry Hill boy, and doubled up his little brown fists.",anger
"I'll kick you m'se'f, but I'll lick anybody else that does it.""",anger
"With this last was I right sore wrath, and willingly would I have run upon him had he not been a priest.""",anger
"Incensed at the insult offered to their wedded wife, Pritha's sons, urged by wrath, will, I ween, slay all thy sons in battle.'",anger
"Fly, if thou wilt, and leave me to perish by the hands of Mexicans: Spaniards shall drink my blood no more!""",anger
"cried Langford, in return, while his eyes too flashed with living lightning; ""Stand back, or I forget all, and you die!""",anger
"hissed Asticot, grasping two fistfuls of earth in his astonishment and fury.",anger
"And Khara, fired with wrath, and having piercing voice, hastening to destroy his enemy like the Destroyer himself, again urged his charioteer with roars, like a mighty cloud showering down stones.",anger
It is your’s now!” she shrieked in a voice that froze the officials.--“Take it--take it from me!”,anger
"If you will kiss me again I will endow you with every oil well on my father's ancestral acres!""",anger
"I will tear up the floor with my fingers, if you do not make haste!""",anger
"thundered Mr. Peterkin, ""tell me, or I'll have the worth out of yer cussed hide.""",anger
"If you put the boat about, by Goad when I get ashore I’ll kill yer, ye lubbers—old man as I am I’ll kill yer, if I swing for it!”",anger
"Then, roused anew to wrath, he loudly cries (Flames, while he spoke, came flashing from his eyes), ""Traitor!",anger
"Wroth was the Sultan; he gnashed his teeth, And his very words seemed to hiss and seethe,",anger
"Hand it over, you bald devil, or we will throttle you, and you'll die in your sins.""",anger
"I said to her, 'If you will not, then I will kill the third of your children.'",anger
yassam--I'll _die_ fer you--I'll die fer ye; of cose I'll _die_ for ye!,anger
"Thou shalt pay me with pain; From thy heart, from thy liver I will suck, I will drain Thy life's crimson river.",anger
"Then Douglas swore a solempne oathe, And thus in rage did say,",anger
"At this, Sir Gawain burned with anger, and cried out, ""I had rather than all France that I might fight with thee alone!""",anger
"in his dearest blood might I allay My rage, and these barbarities repay!",anger
"Then Kriee 3 times his breast he smote, And gruesome oaths swore he; ""Oh, bring back _mine_, and take _your_ coat-- Your painted coat, the which I note Full ill besemmeth me!""",anger
"She raised angry and roaring tempests; in her furious grief she uttered a curse, and then spake to Apsu, saying, ""What shall we do so that their purpose may be thwarted and we may lie down undisturbed again?""",anger
rage 1 raging 1 revenge 1 roar 45 roars 3 roaring 6 Roosevelt 8 rough 1,anger
then in wrath Laid harsh hands on the babe and fiercely flung Far in the salt sea.,anger
"thundered the stranger, his eyes glowing like coals of withering, devouring fire.",anger
"Mr. McGinnis sprang to his feet, “I want to tell you,” he said in a voice choking with rage, “that it is none of your high-explosive business.”",anger
"Ingvar's face was black as night, and as he came he roared at me: ""You here again!",anger
"His teeth clenched and his passion blazed in his eyes as he said: ""No--you witch!",anger
"Alexander shrieked in wrath and terror, and made as if to fling himself on his mother's bosom, then planted his feet with an air of stubborn defiance, and went on with his recital.",anger
"they exclaimed, with dreadful curses, flying at them with the fury of savage beasts.",anger
"Then, shaking his fist in the Sun's face, he shouted, ""I'll make you pay for ruining my beautiful bird-skin coat.""",anger
"Now,"" he exclaimed, with vehemence, ""thou mayst understand the cause of my seeming madness: now thou mayst know that the vengeance of heaven was punishing my old sin with lashes of horror.",anger
"Screaming, he hurled toward Oona the curses that seemed to him most dreadful and mysterious, dark anathemas of old-time learned here and there during his far-wanderings.",anger
"He hath covered me with a cloud in the day of his anger, and filled me with his wrath; and his word has been like a consuming fire shut in my bones!",anger
"If you tell anything about him he will get up and he will slay yourself and your mother.""",anger
"Half choked with rage, King Robert fiercely said, ""Open: 'Tis I, the King!",anger
"asked Mother Rigby, her fierce eyes glowing like two coals of Tophet; ""I'll cover her face with pimples!",anger
acetic 1 acid 23 acrid 1 anger 1 angry 1 apple 27 apples 10 astringent 1,anger
"Turning round in a rage, he called out, doubling up his fist and shaking it at her—",anger
"he said, seizing her strongly by the hand, while a light of wrath leapt into his changed and bloodshot eyes.",anger
"cried the man of the people, scarlet with rage; and, amidst the most vulgar insults and objurgations, he raised his fist upon Nagato.",anger
"cried Pipelet in a thundering voice, giving vent to his indignation, too long suppressed; ""this means that Mr. Cabrion is an infamous impostor, sir!""",anger
"By God, take twenty years off this back of mine, and I'd rip you up the front for saying that, the way I would a codfish!",anger
"And as it came The antelope drew off, with words of flame, On fire with rage, unto the youth he turned, Shouting, ""Thou slave!",anger
And if yo doan't mak her find him--she knows where he is--I'll not stay in this hole!--I'll kill her!--I'll burn th' house!--I'll--',anger
"she hissed fiercely, looking at the girl; and then she added quickly:",anger
"Prove it!—’ The red-faced man abruptly broke off, sneered melo-dramatically, and buried his countenance and his indignation together, in a quart pot.",anger
"She may weel gie ower ta fling, noo tat her teeths wunna haud up her hose!""",anger
"I can throw you right now, or thrash you with my fists.""",anger
"he echoed, his eyes kindling, ""no mortal man shall make me do that, Daisy.",anger
"Then Axel turned to yonder Lord, His manly cheek with rage was ruddy: “To-morrow I’ll rebut thy word Although it cost me life and body.”",anger
"Give me your hand, you vagabond, and if you break my neck I'll make you bury me.”",anger
"The king, on hearing this [speech], became angry; the reply displeased him highly, and he said with wrath, 'What great words issue from a little mouth!",anger
"Then she was angry, and went to Ounauna and said: ""O slave, I will kill you to-day.",anger
"No, I didn'; an' I'll see thee jiggered afore I ties 'ee up.",anger
"Then oaths escaped his lips, and he ended by getting quite angry respecting that son of his whom he would never see again: 'Curse it!",anger
"Set down she must surrender Khinjan Caves or I swear by Allah I will have thee tortured with fire and thorns--and her, too, when the time comes!”",anger
"Tarka Siddhanta got up in great wrath, his face distorted with passion.",anger
"RICHARD: “_Then Clifford were thy heart as hard as steel As thou hast shown it flinty by thy deeds I come to pierce it or to give thee mine._” (Henry VI, Part 3, Act II, Sc.",anger
"Tell Muster Vowler if he scratches my back, I'll tear out his pocket.'""",anger
"By Allah, needs must I look on her, and if she be not as thou sayest, I will bid strike off thy head!",anger
"exclaimed the old gentleman in a passion, thumping the table with his clenched hand.",anger
"shouted he, inebriate with passion, as her pallid face turned to his, ""is this your game?",anger
"She'll fight you with cold steel or she'll run you off your legs Down the length of Piccadilly!""",anger
"cried Harold fiercely, in the strength of his passion hurling aside the man who opposed him.",anger
"I'll tell you what I'll do with Lamb, I'll punch his damned nose, don't you know.”",anger
"demanded the landlord; ""he is as mad as a March hare; nobody will believe his swearing.""",anger
"I believe you’d follow a penny rolling down hill to the very edge of Tophet, and burn your fingers getting it out!”",anger
"Now don't be coming at me again, I'm saying, or I'll flatten you on the floor with a blow, if 'tis Anna's father you are itself!",anger
I'll break you if it is the last act of my life!,anger
"He then rose, his eyes darting fire, and, shaking his terrible fist, he cried, in a voice hoarse with rage: ""Czine mintye!",anger
"Thou old and true Menenius, Thy teares are salter then a yonger mans, And venomous to thine eyes.",anger
"demanded Maude, her breast swelling, her cheeks, not flushed, but pale with anger, and her eyes flashing.",anger
"Before Fadrique had finished speaking, Heimbert, burning with indignation, exclaimed, “The devil himself could not bear that!” and drawing his sword from the scabbard, the two young captains rushed fiercely and resolutely to the attack.",anger
feather by feather I have plucked my fowl and by and by I shall cut his throat.,anger
"Hard stern arms with stubborn edge,[b] Shalt thou have, thou Culann's Hound!""",anger
"If he has, after all your kindness to him, I'll thrash him with my own hands.""",anger
"When the devi saw him, he looked ferociously at him, and said: 'Go back to the place whence thou camest, lest I do to thee as thou deservest.'",anger
"Then with his face white with rage he turned to his men: ""Bind him to yon tree, and we will speak with him again!""",anger
"he exclaimed, in a violent passion, as the name of the lone river fell upon his ear--""Pray where did you learn about the Hawash, or the Ittoo, or the Aroosi?""",anger
"If you do not find it out, we will set your house on fire, and burn you and all your people.""",anger
"she flashed at him, ""If you breathe it, I ’ll never speak to you again!""",anger
"How our fury slashes, Dealing scarlet gashes, Till the earth is ashes-- Lord, in Thee we trust!",anger
"thy cowardice hath destroyed us!” yelled the fierce Coffinhal, as he hurled the coward from the window.",anger
"he replied, and he lifted his eyes, which were dark and piercing, to my face--""I daurna!""",anger
"Bouroche, with a savage shake of his big head with its leonine mane, turned on him with a roar:",anger
"Little Tim Malone sprang to his feet like an electrified bantam-cock, and shaking his fist right under the major’s nose, he hissed: “You are a cur; an unmitigated, red-eyed, yellow-skinned, mongrel cur.",anger
"I'll 'ave a h'orficer 'ere if I don't get my money, you bloomin' old plotters, you!""",anger
"Erect, formidable, his looks irritated, his face purple with rage, his white hair thrown back, his arms crossed on his breast, the count, over-awed, confounded his son, who, with his head down, dared not to raise his eyes upon him.",anger
"I was angry with my foe: I told it not, my wrath did grow.""",anger
"For if by evil luck I’d cracked your Connecting cord, my limbs I’d fracture!’",anger
"protested Guy Little, a gleam in his eye like a faint flicker from a dead fire.",anger
Then grinding her teeth with tears of anger in her eyes: “He shall pay me for this!,anger
"You’ve smashed the greatest invention of the age,” and, stick in hand, he started after Billy with wrath in his eye.",anger
"I'll break their water jar to pieces, and if they send me with others I'll break them too!""",anger
"If they do I'll raise a kick, sure as eggs are unhatched chickens!""",anger
"he captiously vociferated, bouncing into the tent as soon as it had been pitched; ""this is a piece of interference with my prerogatives as Ras el Kafilah, which cannot be borne.""",anger
"And, O descendant of the Kuru race, I was agitated with wrath, and, O king, having reflected upon everything, I set my heart upon slaying him!",anger
"he shrieked in fierce anger, on recognising them, and then seeing all retreat cut off, he suddenly sprang over the side of the vessel, intending, no doubt, to swim ashore.",anger
"I give up the fight,--I am ready to sell my soul to the Devil!""",anger
"rumbled the little man, stiffening up and looking as fierce as he could.",anger
Most wrathful was her countenance as she looked down upon these hated Trojans; and she said to herself: “Shall these men of Troy always baffle my august will?,anger
"The Father was vext, and sorely perplext, with Passion he entered the Room; Come Sirrah, he cry'd, I'll liquor your Hide, if you will not go gather green Broom, green Broom, if you will not go gather green Broom.",anger
"Hang it all, I'll let you kick me if you want to.",anger
"cried Mammy, with assumed wrath, as she pounced upon little Miss Inquisitive.",anger
"Louder, nearer, fierce as vengeance, Sharp and shrill as swords at strife, Came the wild MacGregor’s clan-call, Stinging all the air to life.",anger
"Thou, Agamemnon, give pause to thine anger; myself I entreat thee: Master the wrath, O King, that divides thee from noble Achilleus, Ever in murderous war great bulwark for all the Achaians.""",anger
"Yes, I defy you--defy you and yours to drive me from the island!""",anger
"I ain't goin' to have them trees murdered;"" and he set his teeth hard, and rowed with all his might.",anger
"Atch'ly, I wouldn't give Noble Dill's little finger for a hunderd and fifty Newland Sanderses!""",anger
"Manthara, making Kaikeyi the object of her wrath, threw off the noble ornament, and spoke these words, in anger and grief,—""Thou senseless girl, wherefore dost thou display thy joy on such an unfit occasion.",anger
"I freeze and burn, all in one minute, while he is near!""",anger
"In His name I say to you: May the might of the angered waters be upon you--may you perish in the wrath of the Zuyder Zee!""",anger
Dared to mock with cries defiant; and like wolves for blood were thirsting-- Thine!,anger
"He swore,--and here his spleen burst out--that let a single sword be raised against him, a single spear be laid in rest, and he would hang and quarter every living, breathing thing, without mercy.",anger
"Thunders inarticulate: Wordless curses, deep and wild; Reach'd the long pois'd sword of Fate, To the Spartan thro' his child.",anger
"he roared, as he felt himself seized, and, unable to kick for want of yielding joints, he began to work his stumps, to his holder's horror, like a pair of gigantic shears gone mad.",anger
"The Electoral Prince rose and with flashing eyes passionately exclaimed: “Cousin, woe to you or me, if I have heard aright!”",anger
"If you succeed in restoring altogether this dear creature to my arms, I should think myself happy in spilling the last drop of my blood in your service.'",anger
"roared the Sergeant, slapping his thigh again and again as he laughed.",anger
"At this Thorkell turned white with wrath, and clenched his fists and stamped his foot on the turf, and looked piercingly into the faces of the Bishop's followers.",anger
"I will take your ass, and he shall pay for the theft.""",anger
"Then, turning, he savagely looked at the queen, and with fierce rolling eyes he roared out:",anger
"he continued with passion, ""or are you of our brother Alençon's opinions, that you traverse our orders to the damnation of your soul and our discredit?",anger
"For if my husband discover its loss, he will slay me in his anger.""",anger
"At that was a growl of wrath from the company, and Ingvar rose, looking over the heads of my comrades, saying:",anger
"Here, I'll go and smash the stupid old thing up directly on the block in the wood-shed.""",anger
"shouted the father, springing to his feet and holding out the oar.",anger
"I--I----"" He threw up his head and his words rushed recklessly in a high shrill voice, ""I warned thee!",anger
"They were talking of you, and they swore--O my God!--they swore to have your life.""",anger
"His steed was swift, his countenance In a warlike scowl was set, And in his furious rage he cursed The beard of Mahomet!",anger
"He flew into a sudden passion, and roared, 'Who the hell let down the fire-proof?",anger
"you'll be at me like the rest of 'em;"" and she put her big face down over Feemy's.",anger
"Lysander let fall the maternal head, and bounded to his feet, roaring with wrath.",anger
"cried Elgert, in furious rage; and forgetful of all precaution, he struck a savage blow at him, which sent him spinning backwards over a form with a crash.",anger
"After that she rowed again, all the time getting madder and madder, with her little black eyes a-snapping like fire coals and stomping her feet and shaking her fists.",anger
"He drew a circle about him with a stick, and thundered, ""Get thee behind me, Satan!""",anger
"he snarled: for he did not know at all what it was that he desired to say to those great stupid heroes who did not care what he said, but he knew that he hated them.",anger
"an’ you hold not your jabbering tongue, I’ll flay you when we get to the castle!""",anger
"Again came a roar and a savage snarl, the tiger baring his glistening teeth as if willing to chew his attackers to bits.",anger
"cried the Pharaoh, beside himself with anger, and as red as if he were standing in front of a fiery furnace, as he addressed himself to the chief of the wise men.",anger
"Damned son of the Dust, Touch the right ear, and press with your foot my Pearl's left flank!""",anger
"You've found a good thing here, and you'd like to skin me as a butcher skins a sheep.""",anger
"Sir Robert turned upon him a fierce, angry face, his eyes flashing, and lips moving as if he were talking to himself.",anger
"I can pull him to pieces like a toasted lark--yes, limb from pinion, I, Storri, shall tear him asunder!",anger
"I cry it aloud and do you report my words, though they should bring upon me the wrath of a thousand Madam Isoldes!""",anger
"If I had been in the cellar when you took me, I would at once have blown up all.""",anger
"At the very thought of this he was enraged, and repeated in spirit, ""I will not; I have had enough of this!",anger
"He says that on hearing of his father's murder, ""I was wrathful as a lion, and my soul raged within me, and I lifted my hands to the great gods to assume the sovereignty of my father's house.""",anger
I slew the chief of the Muscolgee; I burnt his squaw at the blasted tree!,anger
"Emitting short, coughing thunder-growls of wrath, he charged straight for the one who had fired the shot.",anger
"Then in wrath did the fair-garlanded Demeter snatch out of the fire with her immortal hands and cast upon the ground that woman's dear son, whom beyond all hope she had borne in the halls.",anger
"He threw his arms up in the air, bellowed his wrath, and then descended upon the children to claim his wares.",anger
"Farewell, Sir Norman Kingsley; before many minutes you will be a corpse, and your blood be upon yourself!”",anger
"Then he crieth after him: ""Evil King, tell me not that I am of your kindred!",anger
"Then in a voice, astoundingly loud, but thick with blood, he would shout, quaveringly: ""Orderly, blast you, you ----, give me some water, or I'll--""",anger
"Foaming with disappointed rage, Macpherson sprung from the ground, snatched a _skean dhu_ from one of his prostrated followers, and shouting, ""Revenge!""",anger
"But in wrath the baron made answer: ""For God, certes, will I do nought, but I will do it for very pride, and in wrath and vexation: it is done neither for good, nor for the sake of my fellows.""",anger
"Then was Arthur wroth, and said to himself, ""I will ride to the church-yard and take the sword with me that sticketh in the stone, for my brother Sir Kay shall not be without a sword this day.""",anger
No wonder she's hissing--no wonder she rolled--cargo goes off in gas--and what's to weigh her down?,anger
"thundered the old Judge, throwing himself back in his chair, as he used to do _in furore_ on the bench, and the lines of his mouth looked brutal, and his eyes ready to leap from their sockets.",anger
"If I live till he gets out of office, I'll lick him.""",anger
"When I saw that she had tricked me, I flew into a rage, and I told her that if she were a man instead of a woman I would tear her heart out by the roots.",anger
"But the maiden made him answer, And the tin-adorned one shouted: ""At your sledge I spit, O villain, Even at your sledge, O scoundrel!",anger
"he exclaimed, with a bitterness which was succeeded by fierce wrath; and with something of his mother's indomitable rage he sent a captain with fifty soldiers to arrest him.",anger
"He'll look upon thee assoilzied by the Queen, spitting fire in his rage, and no canary or muscadella in his cellar.""",anger
"hiss through his teeth with fierce aspiration; followed by a few words uttered with energy in some Spanish patois, from which I could gather: ""carajo!",anger
"Black, furious, raging, swelling as he spoke, The fiercest wind that ever yet had broke From the North's caverns bellowed through the sky.",anger
"I shall be revenged.... Oh, you don’t know what I am capable of!...",anger
"said Hew, lunging right and left, and nearly knocking over the card-table, while sending after his guest a savage malediction, with an unlit havana in his mouth.",anger
"Nicot sprang forward a step, with hands clenched, and showing his teeth from ear to ear, like a wild beast incensed.",anger
"At this sight, Mr Briggs was almost outrageous, and losing in his wrath, all fear of the stranger, he burst forth with fury into the following outcries, “Be ruined!",anger
Apone the hede in gret ire he strak ane; The scherand suerd glaid to the colar bane.,anger
"The men are howling with impatience, and Count Beula’s nearly off his head.""",anger
"The station-master, exceedingly wroth at the first miscalculation, was simply spluttering with wrath at the second, and running down the track he yelled out:",anger
"Then Rāma perspiring, with eyes reddened in wrath, pierced Khara in battle with a thousand shafts.",anger
"Thus spake offended Heaven:--'Let me alone that my wrath may wax hot against them, and that I may consume them.'",anger
"He say, 'Oh, Mr. Devil, don' put de chain on me, I'll go wid you.'",anger
"shouted Habershaw, with a voice choked by anger, until it resembled the growl of a mastiff, whilst, at the same time, he drew his sword half out of the scabbard.",anger
"So great was it, that in a voice inarticulate with rage, with a stammering tongue, and eyes that flashed living fire, he exclaimed, “Rascally clown, boorish, insolent, and ignorant, ill-spoken, foul-mouthed, impudent backbiter and slanderer!",anger
"Take their reward from them, and they will curse Him to His face.'",anger
"But now--he shall answer for himself,” she said, flaming with righteous wrath.",anger
"Cursing himself, his friend, their captive, the horse, his gun and all animate and inanimate Nature in his blood rage, the old man, livid in wrath, stalked away at length.",anger
"Michelet, glowing with the indignation which inflamed the bosoms of his fathers, exclaims, ""Our fathers shivered that Bastille to pieces, tore away its stones with bleeding hands, and flung them afar.",anger
"vociferated Legrand, letting the negro go and executing a series of curvets and caracoles, much to the astonishment of his valet, who, arising from his knees, looked mutely from his master to myself, and then from myself to his master.",anger
"Great is my wrath, on hearing thee disgraced; and like a downpour in the rainy season my ire increases, shaking my very heart.",anger
If it wasn’t out of season I’d have that head of horns!”,anger
"Now,"" he violently thrust his arms in the air, ""get the hell out of here until you have some good news.""",anger
"Instantly his countenance became livid with rage, his lips separated, showing a fine dental formation, and he exclaimed in pure Anglo-Saxon:--",anger
I place myself in your hands; either kill me or deliver me from my enemies.',anger
"He was very angry, and he cried loudly to his son, ""Where is the dog?",anger
"Yes, in ""derisive laughter"", ""rude wrath of the tempest"", and ""plumes streaming on the wind"".",anger
"I knows now who needs killin' an' so holp me God, I hain't a goin' ter lay down ner sleep, ever again, until I kills him!""",anger
"I will save thee from their cruel malice, or I will die with thee!""",anger
"But the uncle, continuing in a great rage, Tomo Chichi bared his breast and said to him, 'If you will kill any body, kill me; for I am an Englishman.'",anger
"He swore a dreadful oath; he called Mary a disgraceful name; and he said he would not stop his ship for any one, nor could he part with a single hand, whoever swung for it.",anger
"Shrieking she leapt to her feet, flew across the room, beat upon the sacred Form with her fists; tore at It with her fingers.",anger
"what a thing it would be to kill him!” he added, making a fierce sound, half grunt, half laugh.",anger
"Far away He saw, from mountain-heights of Solyma, The voyager, and burned with fiercer wrath, And shook his head, and said within himself: ""Strange!",anger
"Answer him, you swine, or you'll be in the cage in a one, two!'",anger
"thundered Hamilton, springing to his feet, and bringing his own hand down with such violence that the lead in his cuff dented his wrist.",anger
"If you attempt to run, blank blank you, I’ll fill you full of buckshot!”",anger
"I thought it then,” he cried, his voice strengthening, his eye kindling as he spoke; “I thought it then, Clementina, but I _know_ it now!",anger
"cried Andrew defiantly to Frank, as he stood quivering with rage--""now is your time.",anger
"He came into the palace in a very bad temper, giving kicks and blows to everything which came in his way, and saying in a fierce, savage voice, ""_Lee, low, lee, leer_, I smell the blood of a human, here.",anger
shrieked the old gentleman; and off he bundled to vent his wrath on the maiden aunt.,anger
"His size was prodigious, his eyes shot forth flames of fire, and his tongue licked his bloody chops.",anger
"It was, ""Lo, I am full of fury, I am weary with holdin' it in.""",anger
"scornfully pronounced the Captain, full of wrath that it should have happened at that critical moment to mar the dignity of his coming toast.",anger
"O cruel one, thou enemy of mine, thou Kaikeyi, who hast befouled thy line!""",anger
"Singomengolo turned his eyes in the direction which Lim Ho indicated, and, as he looked, he muttered a deep curse; he saw at once that the Chinaman had not been mistaken.",anger
"Roused to fury by these tidings, he swore ""by the splendour of the Almighty"" that ""not one Northumbrian should escape his revenge;"" an oath which he put into prompt and terrible execution.",anger
"I know he's a snake, I know he knifed your daddy in th' back,""--growing more intense, talking faster, ""But he's wrong, Benny, wrong in th' head.",anger
"Las' Brer Rabbit got mad, he did, en cusst, en den he went off, he did, en got some kyarpinters, en dey b'ilt 'im a plank house wid rock foundashuns.",anger
"He clinched his fist, stamped and swore, and ordered us all forward, saying, with oaths enough interspersed to send the words home, ``Away with you!",anger
"exclaimed the young girl, with flashing eyes and a voice trembling with passion and indignation.",anger
"I saw you knock him down as if--as if he were dead!""",anger
"But Sigurd knit his brows, and in wrathful wise he said: ""Ill words of those thou speakest that my youth have cherished, And the friends that have made me merry, and the land that is fair and good.""",anger
"exclaimed Florestan, with suppressed rage; then, feigning profound affliction, he added: ""My father, have you no pity--what can I say to you now?",anger
"Yagyágun ku nang tinái mu, I’ll stab you so your intestines hang out all over.",anger
"Don't 'ee go on like that, Nance; I'll 'ave to take you 'ome.",anger
"And see you play me no trick, sir, in this matter; if you do, by ----, sir, I'll lay you by the heels!""",anger
"At this General Oliver rose, pale with anger, and striding roughly up to Plouernel said in a voice of concentrated rage:",anger
hammer 2 hard 2 harsh 3 haughty 1 hear 6 heard 1 heavy 4 high 14 hog 1 holler 16 horn 4,anger
"If my head bursts, you know, it's going to burst all to slivers and splinters--like a boiler!""",anger
"Hoarse voices ringing out defiance, savage yells and curses, mingled with the shrieks and appeals of angry women, smote upon the listeners' ears, and Aleck stamped one foot with impatient rage.",anger
"His lips, fast turning blue, opened wide and deep, and he cried, “LA MORT!-LA MORT!-LA MORT!",anger
"vented his suicidal humour in chopping, with malignant fury, at his own block!",anger
"If I _knowed_ that Kane had a hand in this, I'd cussed soon get that money back!""",anger
"When the old man saw it, Mustaph Aga, Loud he screamed with voice of troubled anger: “Look to this, ye bidden to the wedding!",anger
"He then replied, and his voice rasped and barked like that of a mad dog, ""You are English, and, whether you are right or wrong, _this is a war of annihilation_.""",anger
